11,AV node,,,
12,AO,,,
10,AA,,,
9,DA,,,
8,IVC,,,
7,SVC,,,
30,HEART,,,
29,Pericardium,,,
28,Lt-Atrium,L-Atrium,,
27,Rt-Atrium,R-Atrium,,
26,Lt-Ventricle,L-Ventricle,L-Ventricule,Lt-Ventricule
25,Rt-Ventricle,R-Ventricle,R-Ventricule,Rt-Ventricule
22,Lt-PA,L-PA,Lt_PA,
21,Lt-PV,L-PV,,
20,Rt-PA,R-PA,Rt_PA,
19,Rt-PV,R-PV,,
24,Lt-MB,L-MB,,
23,Rt-MB,R-MB,,
18,Lt-hilum,L-hilum,,
17,Rt-hilum,R-hilum,,
16,Aortic valve,,,
15,Pulmonic valve,,,
14,Mitral valve,,,
13,Tricuspid valve,,,
2,LCA,,,
3,LAD,,,
4,LCX,,,
1,RCA,,,
5,LCS,,,
6,RCS,,,
34,Lt-lung,L-lung,Lt- Lung,
33,Rt-lung,R-lung,R-Rung,Rt- Lung
32,Lt-pleura,L-pleura,,
31,Rt-pleura,R-pleura,,
