AV node,,,
AO,,,
AA,,,
DA,,,
IVC,,,
SVC,,,
HEART,,,
Pericardium,,,
Lt-Atrium,L-Atrium,,
Rt-Atrium,R-Atrium,,
Lt-Ventricle,L-Ventricle,L-Ventricule,Lt-Ventricule
Rt-Ventricle,R-Ventricle,R-Ventricule,Rt-Ventricule
Lt-PA,L-PA,Lt_PA,
Lt-PV,L-PV,,
Rt-PA,R-PA,Rt_PA,
Rt-PV,R-PV,,
Lt-MB,L-MB,,
Rt-MB,R-MB,,
Lt-hilum,L-hilum,,
Rt-hilum,R-hilum,,
Aortic valve,,,
Pulmonic valve,,,
Mitral valve,,,
Tricuspid valve,,,
LCA,,,
LAD,,,
LCX,,,
RCA,,,
LCS,,,
RCS,,,
Lt-lung,L-lung,Lt- Lung,
Rt-lung,R-lung,R-Rung,Rt- Lung
Lt-pleura,L-pleura,,
Rt-pleura,R-pleura,,
